channel,watch_time_minutes,stream_time_minutes,peak_viewers,average_viewers,followers,followers_gained,views_gained,partnered,mature,language,watch_time_hours,stream_time_hours,followers_per_hour,views_per_follower,engagement_rate
Gotaga,1538511315,141675,81644,10750,2401580,632118,39591707,True,False,French,25641855.25,2361.25,267.70481736368447,62.63341179969563,0.004476219821950549
MOONMOON,1527882945,124680,24892,11220,923448,95776,13505898,True,True,English,25464715.75,2078.0,46.090471607314726,141.0154736050785,0.01215011565350729
DrLupo,1517612010,172350,90696,8311,4115083,567795,47295386,True,False,English,25293533.5,2872.5,197.66579634464753,83.29658767689043,0.0020196433461973913
OgamingLoL,1483207890,496950,204491,3020,523758,115965,71583995,True,False,French,24720131.5,8282.5,14.00120736492605,617.2896563618333,0.005766021712317521
Myth,1479214575,134760,122552,9396,6726893,1421811,37384058,True,False,English,24653576.25,2246.0,633.0414069456812,26.293268233260257,0.0013967815453583103
Evelone192,1474742220,83010,106900,16422,1075101,826433,47400543,True,False,Russian,24579037.0,1383.5,597.349475966751,57.35557873415026,0.01527484394489448
nl_Kripp,1470897720,155895,29316,9256,1379123,96793,20034033,True,False,English,24514962.0,2598.25,37.25315115943423,206.97811825235297,0.006711511591061856
LEC,1470431925,45660,305119,28830,973727,551345,25924096,True,False,English,24507198.75,761.0,724.5006570302234,47.0197353744026,0.029607888042541698
dota2mc_ru,1464683175,66675,182869,19495,428284,156721,38774178,True,False,Russian,24411386.25,1111.25,141.0312710911136,247.40894966213844,0.045518861316322816
Fresh,1464179820,147660,57431,9728,3135667,1875187,25341820,True,False,English,24402997.0,2461.0,761.96139780577,13.51428950819305,0.0031023702453098494
LCS,1461310140,31125,214124,46459,1162746,526244,28313058,True,False,English,24355169.0,518.75,1014.446265060241,53.80214881309811,0.03995627591924634
ROSHTEIN,1435735725,118995,45843,11717,381918,242369,17836875,False,True,English,23928928.75,1983.25,122.20799193243414,73.59387958030936,0.03067936049099545
ibai,1412913285,57795,173238,22837,1894953,1602088,44178173,True,False,Spanish,23548554.75,963.25,1663.2110044121464,27.575372264195224,0.012051486237389528
TFBlade,1394312895,141285,35833,9117,1008040,450146,35978104,True,False,English,23238548.25,2354.75,191.16509183565134,79.92541086669658,0.009044283956985835
Sardoche,1361024835,164235,144066,8066,746865,370358,32261961,True,True,French,22683747.25,2737.25,135.30295004109965,87.11020418081964,0.01079980987193134
LCK,1351758525,37140,171861,36030,934688,307853,28970100,True,False,English,22529308.75,619.0,497.3392568659128,94.10367935345765,0.03854762230819268
Yassuo,1347412425,103905,70587,10531,1878416,689957,32362117,True,False,English,22456873.75,1731.75,398.4160531254511,46.904541877247425,0.005606319366955988
HasanAbi,1339344945,193560,44649,6543,470123,340810,14154952,True,False,English,22322415.75,3226.0,105.64476131432114,41.53326486898859,0.013917634321230827
BeyondTheSummit,1339097490,505080,116547,2635,923689,114948,42403593,True,False,English,22318291.5,8418.0,13.655024946543122,368.89369975989143,0.002852691760971496
Dota2RuHub,1330625430,92160,105359,13189,777510,126221,43831479,True,False,Russian,22177090.5,1536.0,82.17513020833333,347.25979829030035,0.01696312587619452
Bugha,1324519320,100470,66311,12982,2942212,2220765,49441744,True,False,English,22075322.0,1674.5,1326.2257390265752,22.263384014067224,0.004412326508083034
RocketLeague,1322448480,33540,206681,36086,1409120,412101,57189129,True,False,English,22040808.0,559.0,737.211091234347,138.774545560433,0.025608890655160668
csgomc_ru,1308967860,77955,364816,17020,492954,447601,42952835,True,False,Russian,21816131.0,1299.25,344.5072157013662,95.96233028969998,0.034526548116051395
Clix,1256647110,89760,81926,12996,2035180,1687923,33286370,True,False,English,20944118.5,1496.0,1128.2907754010696,19.72031307115313,0.006385675959865958
Gorgc,1252711830,141135,56449,8683,391726,136943,20882507,True,True,English,20878530.5,2352.25,58.217876501222236,152.49050334810835,0.022166003788362275
서새봄냥 (saddummy),1241997345,182310,25482,6681,580794,97615,30550147,True,False,Korean,20699955.75,3038.5,32.12604903735396,312.96570199252164,0.0115032180084505
NoWay4u_Sir,1234567245,139920,24286,8479,383892,108832,23037239,True,False,German,20576120.75,2332.0,46.66895368782161,211.6770710820347,0.022086941118856344
RiotGamesBrazil,1228613130,38370,255542,25918,1011924,325801,33796768,True,False,Portuguese,20476885.5,639.5,509.46207974980456,103.73439001108038,0.02561259541230369
JLTomy,1228169940,121455,42079,10053,428073,277529,13890640,True,False,French,20469499.0,2024.25,137.10213659380017,50.051129791841575,0.023484312255152743
SolaryFortnite,1223349555,381735,46710,3180,1478270,447191,26737542,True,False,French,20389159.25,6362.25,70.28818421156038,59.78998235653222,0.0021511631839920987
ONSCREEN,1197130335,134880,88516,4134,918654,669348,22820310,True,False,English,19952172.25,2248.0,297.7526690391459,34.09334158016458,0.004500062047299636
AdmiralBahroo,1188645990,141210,21053,8152,778055,72454,12853095,True,False,English,19810766.5,2353.5,30.785638410877418,177.39662406492394,0.01047740840943121
Quin69,1186941750,174270,36742,6616,538532,87860,19512632,True,True,English,19782362.5,2904.5,30.249612669994836,222.0877760072843,0.012285249530204333
Trymacs,1184154975,107880,50957,10735,1607134,582089,21254933,True,False,German,19735916.25,1798.0,323.7424916573971,36.514919539795464,0.00667959236753127
dasMEHDI,1172969025,231465,47683,5013,299048,76568,7422911,True,True,English,19549483.75,3857.75,19.847838766120148,96.94534270191203,0.016763195206120757
sneakylol,1149209820,174885,22759,6775,1659108,183911,17820367,True,False,English,19153497.0,2914.75,63.09666352174286,96.89668915943038,0.004083519577990101
NickEh30,1148114400,117885,85073,9702,1660204,1445590,39439261,True,False,English,19135240.0,1964.75,735.7628196971625,27.2824666745066,0.005843860152125883
fps_shaka,1131509385,215160,26572,5195,303671,128907,21331882,True,False,Japanese,18858489.75,3586.0,35.94729503625209,165.48272785806822,0.017107329972239693
LVPes,1115650275,90960,233009,12947,587677,158934,51523747,True,False,Spanish,18594171.25,1516.0,104.8377308707124,324.1832899190859,0.02203080944124068
Vader,1110952500,184305,16289,5913,424374,57681,11535871,True,True,English,18515875.0,3071.75,18.77789533653455,199.99429621539156,0.013933464349842356
forsen,1106781045,109140,33966,10080,1308165,164792,18534278,True,True,English,18446350.75,1819.0,90.59483232545355,112.47073887081898,0.007705450000573322
Papaplatte,1105525440,125550,42230,8546,919026,552959,23472239,True,False,German,18425424.0,2092.5,264.2575866188769,42.448425651811434,0.00929897521941708
StarLadder_cs_en,1088832810,32880,329195,29956,820675,260993,29821162,True,False,English,18147213.5,548.0,476.264598540146,114.26039012540566,0.03650166021872239
Symfuhny,1076179485,137400,45671,7327,2355063,704327,18756705,True,True,English,17936324.75,2290.0,307.56637554585154,26.630677228048903,0.0031111694251915976
DreamHackCS,1052904720,314595,212201,5001,1801697,275934,28759226,True,False,English,17548412.0,5243.25,52.62651981118581,104.22501757666689,0.002775716449547288
Mizkif,1052047935,123120,32671,7899,591653,365303,13585178,True,False,English,17534132.25,2052.0,178.0229044834308,37.18879396008245,0.013350730918291634
Rainbow6,1031011170,82380,135471,11535,1501197,428942,16786627,True,True,English,17183519.5,1373.0,312.4122359796067,39.134957639960646,0.0076838682731180516
stylishnoob4,1029543660,118515,25263,8485,354579,124038,20638084,True,False,Japanese,17159061.0,1975.25,62.796101759270975,166.38517228591238,0.023929787156035748
Maximilian_DOOD,1023316710,110040,43253,9235,833047,133195,15517436,True,False,English,17055278.5,1834.0,72.62540894220284,116.50164045196892,0.011085809084001263
Trainwreckstv,1021699920,148425,49379,7134,728097,379973,12449595,True,True,English,17028332.0,2473.75,153.60202122283982,32.76442010353367,0.009798145027379593
dota2ti,1017577605,6315,483530,147643,663297,121422,16228039,True,False,English,16959626.75,105.25,1153.6532066508314,133.64990693614007,0.22258957902719295
GRONKH,1017544335,54645,100330,17860,1216020,192000,16800930,True,False,German,16959072.25,910.75,210.81526214658248,87.50484375,0.014687258433249454
SypherPK,1016450160,145230,130401,6553,3611359,1118169,26996445,True,False,English,16940836.0,2420.5,461.9578599462921,24.14343896137346,0.0018145523610363856
ZeratoR,1011013035,84960,262273,10516,880728,240442,31456198,True,True,French,16850217.25,1416.0,169.8036723163842,130.82655276532387,0.011940122262491939
SilverName,1006608690,95625,29927,10618,614395,108466,27464678,True,False,Russian,16776811.5,1593.75,68.05709803921569,253.2100197296849,0.01728204168328193
Sacriel,1002681105,163095,66781,5573,672403,136341,60194490,True,False,English,16711351.75,2718.25,50.157638186333116,441.4995489251216,0.008288184318035463
dakotaz,978947160,132615,43397,7112,4520305,489250,18504106,True,False,English,16315786.0,2210.25,221.35505033367266,37.82137148696985,0.0015733451614437521
Stray228,972961650,93750,36971,10290,773712,197486,23738903,True,False,Russian,16216027.5,1562.5,126.39104,120.20549811125852,0.013299522302872386
AdmiralBulldog,972317520,154845,16681,6198,694253,66513,17095676,True,True,English,16205292.0,2580.75,25.772740482417902,257.0275885917039,0.008927581155572968
pokimane,964334055,56505,112160,16026,5367605,2085831,45579002,True,False,English,16072234.25,941.75,2214.8457658614284,21.8517233658911,0.0029856891481396266
lestream,955346835,253395,47638,3652,883706,124020,25815105,True,False,French,15922447.25,4223.25,29.36600958977091,208.15275761973876,0.004132596134913648
ybicanoooobov,938816460,114765,17036,8255,523512,101937,16237397,True,False,Russian,15646941.0,1912.75,53.29342569598745,159.28855077155498,0.015768501963660815
Method,905107560,230940,148350,4135,401400,132108,22813009,True,False,English,15085126.0,3849.0,34.32268121590023,172.68453840796923,0.010301444942700548
Nightblue3,899215845,118980,17738,7234,2641880,175130,19181711,True,False,English,14986930.75,1983.0,88.315683308119,109.52841317878148,0.0027382015837206838
EsfandTV,888938940,189045,29597,4393,471970,216021,24144005,True,False,English,14815649.0,3150.75,68.56177100690311,111.7669346961638,0.00930779498696951
shroud,888505170,30240,471281,29612,7744066,833587,30621257,True,False,English,14808419.5,504.0,1653.9424603174602,36.73432647102222,0.0038238310468944867
NOBRU,888211260,38655,132224,22070,1549722,1400039,6781403,True,False,Portuguese,14803521.0,644.25,2173.1299961195186,4.8437243533930125,0.014241263917012213
buster,884353800,59295,97838,14195,1087377,1052053,37351933,True,False,Russian,14739230.0,988.25,1064.5615987857323,35.503851041725085,0.013054350055224637
Scarra,864157695,138360,27421,6060,1242014,333090,15626904,True,False,English,14402628.25,2306.0,144.44492627927147,46.91495992074214,0.004879172054421287
Baiano,859718520,85860,107069,9229,425797,363343,19412227,True,False,Portuguese,14328642.0,1431.0,253.90845562543674,53.426726261411396,0.021674647778166592
괴물쥐123 (tmxk319),857951685,116400,71933,7173,427926,367486,17151766,True,False,Korean,14299194.75,1940.0,189.42577319587627,46.673250137420204,0.016762243939372694
WePlayEsport_RU,853324635,92970,115737,8627,346934,243137,28789066,True,False,Russian,14222077.25,1549.5,156.91319780574378,118.40676655548107,0.024866401102226935
elded,853049385,110940,44758,7699,2601858,1108422,14789437,True,False,Spanish,14217489.75,1849.0,599.4710654407788,13.342785509490067,0.002959039271166989
LPL,850636305,48765,146577,17573,502467,280538,31029241,True,False,English,14177271.75,812.75,345.17133189787756,110.60619595206353,0.03497344104189927
juansguarnizo,849083325,123780,45631,6039,1204773,946280,12708431,True,False,Spanish,14151388.75,2063.0,458.691226369365,13.429884389398486,0.005012562532526874
Rakin,842581305,144510,51854,5333,1258173,517248,24523589,True,False,Portuguese,14043021.75,2408.5,214.7593938135769,47.41166519735214,0.004238685776916211
SolaryHS,827452485,460065,17513,1802,149073,35986,10445269,True,False,French,13790874.75,7667.75,4.693162922630498,290.25923970432945,0.0120880374044931
Cellbit,817373955,103095,68813,8264,1293451,547018,18105470,True,False,Portuguese,13622899.25,1718.25,318.3576313109268,33.09849036046346,0.006389109444424257
dota2ti_ru,812538090,6195,457060,126232,541644,108438,12068376,True,False,Russian,13542301.5,103.25,1050.2469733656174,111.29286781386598,0.23305344469799352
uzra,812362125,208785,14181,3683,185506,29752,20715640,True,False,Chinese,13539368.75,3479.75,8.550039514332926,696.2772250605001,0.019853805267754144
OverwatchLeague,805163370,24480,254493,33132,1796619,83198,27099682,True,False,English,13419389.5,408.0,203.91666666666666,325.72516166253996,0.018441305585658395
Thijs,794621265,108720,24923,7180,755116,68557,15548337,True,False,English,13243687.75,1812.0,37.83498896247241,226.79430255116182,0.009508472870393423
Swagg,790021440,108375,74199,6309,784966,723082,7527027,True,False,English,13167024.0,1806.25,400.32221453287195,10.409645102491833,0.008037290787116895
TeePee,789698115,170010,78741,4410,520519,238257,17102146,True,True,English,13161635.25,2833.5,84.0857596611964,71.7802457010707,0.008472313210468782
LVNDMARK,788421150,199350,96236,3688,248829,244295,8815201,True,False,English,13140352.5,3322.5,73.52746425884123,36.0842465052498,0.014821423547898355
Agraelus,779867430,169515,23555,4642,414951,132125,20334558,True,True,Czech,12997790.5,2825.25,46.76577294044775,153.9039394512772,0.011186863027200802
BLASTPremier,753808200,25260,113167,24689,501371,315910,21104122,True,False,English,12563470.0,421.0,750.3800475059383,66.80422272166123,0.049242975760464804
cloakzy,748023225,101670,40497,6743,2138294,558107,14533643,True,False,English,12467053.75,1694.5,329.36382413691354,26.040961679391227,0.0031534484967923027
aceu,744620970,118125,26141,6328,859439,763489,15894732,True,True,English,12410349.5,1968.75,387.8039365079365,20.818547483984705,0.007362942570676918
蝦愛橘子 (shuteye_orange),728551080,325935,7441,2217,85247,29549,18572922,True,True,Chinese,12142518.0,5432.25,5.4395508306871,628.5465497986396,0.02600678029725386
Elraenn,726379485,51150,65543,13224,1223076,672978,20881140,True,False,Turkish,12106324.75,852.5,789.4170087976539,31.02796822481567,0.010812083631761232
Elajjaz,726000045,145755,13080,4922,346566,37883,12800182,True,False,English,12100000.75,2429.25,15.594525059174643,337.88723173983055,0.014202201023758822
CDNThe3rd,722562675,134280,55752,4919,2009972,167704,15136396,True,False,English,12042711.25,2238.0,74.93476318141198,90.25661880456042,0.0024472977733023147
POW3Rtv,721548885,177885,69009,3836,1080764,495072,23271722,True,False,Italian,12025814.75,2964.75,166.98608651656969,47.006742453622905,0.003549341021721671
IzakOOO,717096330,129165,43050,4463,1461767,286467,23586902,True,False,Polish,11951605.5,2152.75,133.0702589710835,82.33723954242548,0.003053154162051818
DreadzTV,715644660,109725,35865,6249,675908,57448,32228705,True,True,Russian,11927411.0,1828.75,31.41380724538619,561.0065624564824,0.009245341081922391
따효니 (ddahyoni),711864630,152445,17253,4534,322895,46946,15586820,True,False,Korean,11864410.5,2540.75,18.477221292925318,332.01593319984664,0.01404171634741944
WePlayEsport_EN,704823000,107745,87751,6127,175061,137229,17857171,True,False,English,11747050.0,1795.75,76.41876653208966,130.12680264375606,0.034999228840232835
ElmiilloR,686456910,126105,45726,5163,426716,189847,20714971,True,False,Spanish,11440948.5,2101.75,90.32805995004163,109.11402866518829,0.012099382258926311
Squeezie,667977780,29775,158972,19260,2149306,875678,21128175,True,False,French,11132963.0,496.25,1764.5904282115869,24.127790123766957,0.008961032072678343
allkeyshop_tv,663185955,487005,6075,1361,67472,26937,55639770,True,False,English,11053099.25,8116.75,3.3186928265623554,2065.551843189665,0.020171330329618212
Domingo,662502810,65610,102022,11423,829700,276400,23040428,True,False,French,11041713.5,1093.5,252.76634659350708,83.359001447178,0.013767626853079426
PlayHearthstone,661075170,41175,43877,13154,825727,39065,28719610,True,False,English,11017919.5,686.25,56.92531876138433,735.1749648022527,0.01593020453491287
ESL_DOTA2,661049190,212010,99858,4714,337177,91323,14784068,True,False,English,11017486.5,3533.5,25.844912975803027,161.88767342290552,0.01398078753888907
Kitboga,656365305,80760,20913,7394,772055,331906,8392545,True,False,English,10939421.75,1346.0,246.58692421991086,25.285909263466163,0.009577037905330578
DansGaming,653181210,187530,33646,3270,817365,29415,13757678,True,False,English,10886353.5,3125.5,9.411294192929132,467.7096039435662,0.0040006606595584596
老皮 (mobilmobil),652685055,126120,16497,5303,446426,34362,20520762,True,True,Chinese,10878084.25,2102.0,16.347288296860132,597.1934695302951,0.01187878842182131
Destiny,650910525,162690,24101,3894,571183,115692,8579344,True,True,English,10848508.75,2711.5,42.66715839940992,74.15676105521557,0.006817429790452447
우왁굳 (woowakgood),650364705,158850,14177,4100,591500,207575,18626351,True,False,Korean,10839411.75,2647.5,78.40415486307838,89.73311333253041,0.0069315300084530854
RATIRL,649761570,145050,14480,4420,423002,249048,14109245,True,True,English,10829359.5,2417.5,103.01882109617374,56.652713533134175,0.010449123171994458
bratishkinoff,646333065,60795,56790,10626,1128907,389268,25254350,True,False,Russian,10772217.75,1013.25,384.1776461880089,64.87651181191364,0.0094126442656481
Yogscast,644580630,443130,54885,1384,961860,127684,20999649,True,False,English,10743010.5,7385.5,17.28847065195315,164.46578271357413,0.0014388788389162663
앰비션_ (lol_ambition),639445965,113415,57254,5332,362297,108498,17248420,True,False,Korean,10657432.75,1890.25,57.39875677820394,158.9745433095541,0.014717207153247197
jukes,628079220,76605,24263,8165,1327059,353576,19915875,True,False,Portuguese,10467987.0,1276.75,276.9344037595457,56.32699900445731,0.0061527030825306184
木棉花官方頻道 (muse_tw),625892895,446655,16702,1397,121053,120954,13670649,True,True,Chinese,10431548.25,7444.25,16.247976626255163,113.02353787390247,0.01154039965965321
Shlorox,625142130,115650,13945,5216,331632,77979,13181386,True,False,German,10419035.5,1927.5,40.45603112840467,169.03763833852705,0.01572827712645342
coscu,622424175,77160,80444,8919,1865296,1061265,19438119,True,False,Spanish,10373736.25,1286.0,825.2449455676516,18.315989880001695,0.004781546735745962
dogdog,622199835,103335,24727,5856,594239,50345,12089717,True,False,English,10369997.25,1722.25,29.232109159529685,240.1373919952329,0.00985462078389335
chocoTaco,620395515,160830,30514,3846,1134153,250201,17922897,True,False,English,10339925.25,2680.5,93.34116769259467,71.63399426860803,0.003391076865290662
Locklear,619247415,108450,50103,5512,824676,469017,17854413,True,False,French,10320790.25,1807.5,259.4838174273859,38.067731020410775,0.006683837046306671
餐餐自由配 (blusewilly_retry),618755280,100515,17585,5941,374480,42764,18366224,True,False,Chinese,10312588.0,1675.25,25.526936278167437,429.47862688242446,0.01586466566972869
Amouranth,618067800,235170,13495,2560,1707804,532750,48015117,True,False,English,10301130.0,3919.5,135.92294935578516,90.12692069450962,0.0014990010563273068
UberHaxorNova,615472275,181950,7808,3247,421256,65267,7518457,True,False,English,10257871.25,3032.5,21.522506183017313,115.19538204605696,0.0077079020832937694
Sfory,612617325,73590,75219,3197,457502,450299,12391816,True,False,Russian,10210288.75,1226.5,367.1414594374236,27.519083986417915,0.006987947593671722
Giantwaffle,612594165,165525,36340,3429,878934,15334,10831070,True,False,English,10209902.75,2758.75,5.5583144540099685,706.3434198513108,0.0039013168224235266
ZanoXVII,610609920,95730,30648,6073,514866,322929,6034891,True,False,Italian,10176832.0,1595.5,202.39987464744596,18.687980949372772,0.011795302078599091
침착맨 (zilioner),601906185,97545,43164,5843,465887,121506,18265409,True,False,Korean,10031769.75,1625.75,74.7384284176534,150.32516089740423,0.01254166782932342
SkipNhOLIVE,600910875,498765,7940,1196,324765,271487,6544645,True,False,Portuguese,10015181.25,8312.75,32.65910799675198,24.106660724086236,0.0036826628485212383
Kamet0,600882645,130620,70983,4560,565661,221911,14071951,True,False,French,10014710.75,2177.0,101.9343132751493,63.412588830657334,0.00806136537608214
MYM_ALKAPONE,599850495,97830,26221,5948,770535,153803,7831334,True,False,Spanish,9997508.25,1630.5,94.32873351732597,50.91795348595281,0.007719311906662254
김진우 (jinu6734),597275955,121545,12810,4710,274875,90213,9977487,True,False,Korean,9954599.25,2025.75,44.53313587560163,110.59921519071531,0.017135061391541608
imaqtpie,596368095,167190,26087,3478,2652018,50312,13182700,True,False,English,9939468.25,2786.5,18.055625336443565,262.01900143107014,0.0013114541454846836
x2Twins,595707975,125745,31874,4167,1288969,1035561,15264996,True,False,English,9928466.25,2095.75,494.12429917690565,14.74079846575914,0.0032328163051244833
C_a_k_e,588662010,129660,17317,4403,302633,45957,18161823,True,False,Russian,9811033.5,2161.0,21.266543267006014,395.19165741889157,0.014548975161334025
SmiteGame,586925850,344055,33245,1588,535211,73678,8305604,True,False,English,9782097.5,5734.25,12.848759645986833,112.72841282336654,0.002967054115106005
RatedEpicz,582401145,175920,11860,3336,134757,74221,7251200,True,True,English,9706685.75,2932.0,25.31412005457026,97.69741717303728,0.024755671319486187
wtcN,582125625,77385,73861,7438,1852272,566210,25333548,True,True,Turkish,9702093.75,1289.75,439.0075596045745,44.7423182211547,0.004015608938644001
Anton,581034300,142890,137531,3199,207484,128050,6176254,True,True,English,9683905.0,2381.5,53.7686332143607,48.233143303397114,0.01541805633205452
benjyfishy,580787955,34350,75491,14423,1739112,1455278,20411553,True,False,English,9679799.25,572.5,2541.970305676856,14.025878904236853,0.008293312909116836
StarLadder5,580541850,41715,189859,13089,1029203,104382,21525216,True,False,Russian,9675697.5,695.25,150.1359223300971,206.21578433063172,0.012717607702270591
Reborn_Live,578122875,32100,57849,17488,697007,682512,9965787,True,True,Spanish,9635381.25,535.0,1275.7233644859814,14.601628982347563,0.025090135393188304
CasinoDaddy,577240710,267465,6524,2168,151098,42680,7493491,False,True,English,9620678.5,4457.75,9.57433682911783,175.57382849109652,0.01434830374988418
H2P_Gucio,575998575,157995,10011,3581,220488,78264,13401489,True,False,Polish,9599976.25,2633.25,29.72144688123042,171.23439895737505,0.01624124668916222
Xayoo_,575138175,91260,23935,6091,572789,215098,12984472,True,False,Polish,9585636.25,1521.0,141.4188034188034,60.36537764181908,0.0106339332633832
Jinnytty,569601090,151815,15190,3607,372334,213291,15165872,True,False,English,9493351.5,2530.25,84.29641339788559,71.10413472673484,0.009687538607809118
KendineMuzisyen,567374295,58545,43422,9583,1372290,486410,17629667,True,True,Turkish,9456238.25,975.75,498.49859082756853,36.24445837873399,0.0069832178329653355
Jahrein,566176425,61890,43683,8929,1422862,247212,18410268,True,False,Turkish,9436273.75,1031.5,239.66262724188076,74.4715790495607,0.006275380184445153
Mathil1,561997440,134715,25866,3953,293595,66982,13159849,True,False,English,9366624.0,2245.25,29.832758044761164,196.46843928219522,0.013464125751460346
Greekgodx,561616335,89745,45741,7083,1278824,403108,12441822,True,True,English,9360272.25,1495.75,269.50225639311384,30.86473600127013,0.005538682414468293
Brunenger,559915035,183225,64308,2844,659652,649562,12736000,True,False,Spanish,9331917.25,3053.75,212.70961932050758,19.607058294666253,0.004311364173837114
ClassyBeef,558883590,273660,33624,1941,108623,88671,6626543,False,True,English,9314726.5,4561.0,19.4411313308485,74.73179506264731,0.017869143735672922
Diegosaurs,558587535,128580,32463,4150,521201,270255,9851921,True,True,English,9309792.25,2143.0,126.11059262715818,36.45416736045586,0.007962379197277058
BobRoss,558170835,238035,11659,2175,1519266,216326,7491995,True,False,English,9302847.25,3967.25,54.5279475707354,34.63289202407478,0.0014316123707105932
Nick28T,556741020,183660,15155,3024,977377,78054,6777975,True,True,English,9279017.0,3061.0,25.499509964064032,86.83699746329464,0.0030939954592751825
녹두로 (nokduro),555637890,140670,15858,4040,165823,95603,9518923,True,False,Korean,9260631.5,2344.5,40.777564512689274,99.56719977406567,0.024363327162094522
GMHikaru,554249955,68355,46106,7155,505361,425023,20086431,True,False,English,9237499.25,1139.25,373.07263550581524,47.25963300809603,0.014158195824371092
SkipNhO,553663800,131580,23408,3875,1076499,281967,13901197,True,False,Portuguese,9227730.0,2193.0,128.57592339261285,49.300794064553656,0.003599631769281718
jovirone,553283745,96450,29272,5632,1089830,300545,17980307,True,False,Portuguese,9221395.75,1607.5,186.9642301710731,59.82567336006255,0.005167778460860868
Chap,550951215,157545,22571,3430,1272899,273926,13683195,True,False,English,9182520.25,2625.75,104.32295534609159,49.95215861217993,0.0026946364165577946
김도 (kimdoe),549244755,134985,11759,4062,287639,10062,14188002,True,True,Korean,9154079.25,2249.75,4.4724969441049005,1410.0578413834228,0.01412186803597565
RebirthzTV,548041425,118920,14578,4629,276694,76546,8434367,True,False,Thai,9134023.75,1982.0,38.62058526740666,110.18690721918846,0.016729672490187718
Klean,545108145,169605,101124,2801,276242,154466,7844435,True,False,English,9085135.75,2826.75,54.64437958786593,50.78421788613675,0.010139660153054206
接接 (godjj),544706325,126705,12461,4378,331744,19325,20264128,True,False,Chinese,9078438.75,2111.75,9.151177932993962,1048.596532988357,0.013196922928523199
Gladd,543954570,171195,54477,2779,337972,157424,9290817,True,False,English,9065909.5,2853.25,55.1735739945676,59.01779271267405,0.008222574651154533
CSRuHub,540556545,110880,106003,5044,511431,121099,23271913,True,False,Russian,9009275.75,1848.0,65.5297619047619,192.17262735447858,0.009862522999192462
CriticalRole,539495145,21300,110800,17689,571210,237069,7827030,True,False,English,8991585.75,355.0,667.8,33.01583083406097,0.030967595105127713
Vinesauce,536989080,86790,19065,6125,442493,80616,5560969,True,True,English,8949818.0,1446.5,55.73176633252679,68.98095911481592,0.013842026879521258
울프 (lol_woolf),532969650,50910,73800,9633,308528,141297,9294132,True,False,Korean,8882827.5,848.5,166.52563347083088,65.777277649207,0.031222449826271845
Mithrain,530456265,105540,40183,4990,1258713,371005,24222810,True,False,Turkish,8840937.75,1759.0,210.9181353041501,65.28971307664317,0.003964366777811939
EWROON,526660590,101235,21341,5172,514693,232079,13289271,True,False,Polish,8777676.5,1687.25,137.5486738776115,57.26184187281055,0.010048708647679296
ludwig,525883695,94575,60346,5368,542580,505089,8508355,True,False,English,8764728.25,1576.25,320.43711340206187,16.8452589543625,0.009893471930406576
RduLIVE,525737445,127380,11854,3953,234884,62490,7653194,True,False,English,8762290.75,2123.0,29.434762129062648,122.4706993118899,0.016829583964850736
Hiko,523057245,79665,41644,5268,1001350,479830,11106951,True,False,English,8717620.75,1327.75,361.385803050273,23.14767938644937,0.005260897787986218
FENGRUSH,521568750,100605,16128,4985,95643,23288,44675247,True,False,English,8692812.5,1676.75,13.888772923810944,1918.3805822741326,0.05212090795980887
Chess,521511525,96315,83666,5767,326118,181232,84500786,True,False,English,8691858.75,1605.25,112.89954835695374,466.25753730025605,0.017683783170508834
72hrs,519458565,136515,30702,3756,1024814,315190,12051692,True,False,English,8657642.75,2275.25,138.52983188660588,38.23627653161585,0.0036650553173551495
TwitchRivals,516113670,36555,109148,14509,999480,644684,71159574,True,False,English,8601894.5,609.25,1058.1600328272466,110.37899808278164,0.014516548605274742
狂暴小建 (a541021),516009420,166575,8337,3105,207369,18023,18201933,True,False,Chinese,8600157.0,2776.25,6.491850517784782,1009.928036397936,0.014973308450154073
hashinshin,515812965,192255,12540,2483,570621,159892,11386166,True,False,English,8596882.75,3204.25,49.89997659358664,71.21160533360018,0.004351399615506615
JoshOG,510984165,159300,85051,2957,1748928,120782,20688501,True,False,English,8516402.75,2655.0,45.49227871939736,171.28794853537778,0.0016907499908515387
B0aty,510323715,151215,22375,3152,516113,49577,8448691,True,True,English,8505395.25,2520.25,19.671461164567006,170.41553542973557,0.006107189704580199
AustinShow,509643945,21000,72199,24739,840624,378656,11648873,True,True,English,8494065.75,350.0,1081.8742857142856,30.763735422124565,0.02942932868916424
39daph,509052375,135495,12648,3766,505362,470589,8983449,True,False,English,8484206.25,2258.25,208.3865825307207,19.08979810407808,0.00745208385276297
scump,506838930,71355,79976,6789,893010,275270,8661072,True,False,English,8447315.5,1189.25,231.4652091654404,31.46391542848839,0.007602378472805455
플러리 (flurry1989),505333050,128790,12084,3859,169505,51935,10969148,True,False,Korean,8422217.5,2146.5,24.195201490798976,211.2091653027823,0.022766290079938644
Kyle,501208575,161295,9339,3059,182260,60506,5692219,True,True,English,8353476.25,2688.25,22.507579280200876,94.0769345188907,0.016783715571162077
SummonersInnLive,499421415,64875,110095,6328,503346,46779,13724263,True,False,German,8323690.25,1081.25,43.26381502890173,293.38513007973665,0.012571869052301995
Aydan,495563580,140595,51268,3507,1701314,425036,11009240,True,True,English,8259393.0,2343.25,181.3873893097194,25.901900074346642,0.0020613478758183383
