channel,watch_time_minutes,stream_time_minutes,peak_viewers,average_viewers,followers,followers_gained,views_gained,partnered,mature,language,watch_time_hours,stream_time_hours,followers_per_hour,views_per_follower,engagement_rate
Ziqoftw,131821710,94515,10569,1293,198304,33547,4933908,True,False,English,2197028.5,1575.25,21.296302174258056,147.0744925030554,0.006520292076811361
CyrusTWO,131621775,128085,2727,1027,96691,25277,5787660,True,True,Swedish,2193696.25,2134.75,11.84073076472655,228.96941883926098,0.010621464252102057
칸데르니아 (jmjdoc),131408250,170865,2395,756,30877,9502,4337476,True,False,Korean,2190137.5,2847.75,3.336669300324818,456.4803199326458,0.024484243935615508
CouRageJD,131341275,14010,72100,8717,2115596,120434,2874860,False,False,English,2189021.25,233.5,515.7773019271949,23.870833817692677,0.004120351900835509
YoMax,131072925,58380,16952,2051,273980,129000,1715466,True,False,French,2184548.75,973.0,132.57965056526209,13.298186046511628,0.007485947879407256
JeffHoogland,130973670,113655,3375,1070,68914,7290,1965274,True,False,English,2182894.5,1894.25,3.848488847828956,269.5849108367627,0.015526598368981629
Call of Duty (callofduty),130938960,3645,170131,19897,968465,50321,5423366,True,True,English,2182316.0,60.75,828.3292181069959,107.77540191967569,0.020544882881673575
GoBGG,130398315,92730,4198,1400,229586,37272,5971819,True,False,French,2173305.25,1545.5,24.11646716273051,160.22266044215496,0.006097932800780535
Wackyjacky101,130390590,130335,5981,1012,209700,72794,9213152,True,False,English,2173176.5,2172.25,33.510875820002305,126.5647168722697,0.004825941821649976
TaKeTV,130220190,108555,31809,829,227062,13033,2855045,True,False,German,2170336.5,1809.25,7.203537377366312,219.0627637535487,0.0036509851934713867
iceiceice,130179570,37545,8409,3107,183960,57797,2582911,True,False,English,2169659.5,625.75,92.36436276468238,44.68936103950032,0.016889541204609698
StarCraft,130159470,14850,56109,6636,342409,22130,4110003,True,False,English,2169324.5,247.5,89.41414141414141,185.7208766380479,0.019380331708570744
MadDecentLive,129993915,42510,36968,3069,95371,95352,44291541,False,False,English,2166565.25,708.5,134.58292166549046,464.50563176440977,0.03217959337744178
WillerZ,129956310,133770,24663,872,79392,68899,2344895,True,True,English,2165938.5,2229.5,30.90334155640278,34.033803103092936,0.01098347440548166
SoyPan,129903855,132840,13884,954,343191,162018,2167760,True,False,Spanish,2165064.25,2214.0,73.17886178861788,13.37974792924243,0.002779793176394486
murilo_RT,129898080,383955,8185,315,70814,55939,3070308,True,True,Portuguese,2164968.0,6399.25,8.74149314372778,54.88671588694828,0.004448272940379021
Multiplayerit,129567630,111795,15237,1053,58786,17650,30889814,True,False,Italian,2159460.5,1863.25,9.472695558835369,1750.131104815864,0.017912428129146396
Markstrom,129129615,106620,71423,915,93045,35277,1829062,True,False,English,2152160.25,1777.0,19.851997749015194,51.84856988972985,0.00983395131388038
Krayn_Live,129103425,137040,4183,918,125775,20572,4621526,True,True,French,2151723.75,2284.0,9.007005253940456,224.651273575734,0.007298747763864043
西門夜說 (westdoor),128928105,109065,5363,1165,272662,16908,5018006,True,True,Chinese,2148801.75,1817.75,9.30160913216889,296.782942985569,0.004272689263630429
Sintica,128908575,94845,8467,1207,160387,110955,7008648,True,False,German,2148476.25,1580.75,70.19136485845327,63.16658104637015,0.0075255475817865534
FantaBobShow,128845890,65565,8248,1936,348598,86339,3598696,True,True,French,2147431.5,1092.75,79.01075268817205,41.681001633097445,0.005553675006741289
ops1x,128783415,68235,23490,1457,268942,254190,3050489,True,False,English,2146390.25,1137.25,223.512859969224,12.000822219599511,0.005417524968208759
wingz,128746905,92715,3940,1347,85695,32924,3057045,True,False,Spanish,2145781.75,1545.25,21.306584695033166,92.85156724577816,0.01571853667075092
ZLOYn,128586435,49230,14155,2603,294277,284221,6731111,True,False,Russian,2143107.25,820.5,346.3997562461914,23.682665953606524,0.008845407558184975
HunterGodBr,128369655,89520,51612,1737,258876,254260,14078099,True,False,Portuguese,2139494.25,1492.0,170.41554959785523,55.36890977739322,0.006709776109025171
leplol1,128314530,125385,9307,1444,157981,116243,3163399,False,False,Portuguese,2138575.5,2089.75,55.62531403277904,27.213673081389846,0.009140339661098486
sacy,128171445,96630,10692,1304,206184,117190,3590048,True,False,Portuguese,2136190.75,1610.5,72.76622167028873,30.634422732315045,0.0063244480658053
헤징 (hejin0_0),127710465,125865,3032,1017,123451,72192,5800110,True,False,Korean,2128507.75,2097.75,34.41401501608867,80.3428357712766,0.008238086366250577
Naru,127650015,39825,13744,3045,344859,123779,5321664,True,False,Turkish,2127500.25,663.75,186.48436911487758,42.99327026393815,0.008829695614729498
Warcraft,127646610,10005,51972,13741,593564,31688,6635421,True,False,English,2127443.5,166.75,190.03298350824588,209.3985420348397,0.02314998888072727
FlexZ,127550640,114750,14278,897,155382,133959,3254805,True,False,Spanish,2125844.0,1912.5,70.04392156862745,24.297023716211676,0.0057728694443371815
DizzyKitten,127398990,80100,10080,1584,613135,54653,8960383,True,False,English,2123316.5,1335.0,40.93857677902622,163.95043273013374,0.0025834441028484757
지수소녀 (wltn4765),127291245,134070,9379,980,99600,68129,6213041,True,False,Korean,2121520.75,2234.5,30.489594987692996,91.19524725153752,0.009839357429718875
Staryuuki,127219620,77040,5530,1467,586475,530306,5418113,True,False,Spanish,2120327.0,1284.0,413.0109034267913,10.21695587076141,0.002501385395796922
CeMka,127117680,110550,18473,979,86502,22116,4241970,True,False,Russian,2118628.0,1842.5,12.003256445047489,191.8054801953337,0.011317657395204735
Halifax,126885855,160500,12478,793,228316,52433,2955093,True,False,English,2114764.25,2675.0,19.601121495327103,56.35941105792154,0.0034732563639867553
Bidule,126808620,61395,10100,2052,82570,64920,2486535,False,True,French,2113477.0,1023.25,63.444905936965554,38.301524953789276,0.02485164103185176
Gabi,126779310,63480,17866,2174,271202,178648,3821231,True,False,Portuguese,2112988.5,1058.0,168.85444234404537,21.38972168734047,0.008016165072528964
Hype,126704460,81510,10030,1674,145476,101271,6185689,True,True,Turkish,2111741.0,1358.5,74.54619065145381,61.080556131567775,0.011507052709725315
Gigz,126436725,98685,15061,1136,254401,44075,1958787,True,False,English,2107278.75,1644.75,26.797385620915033,44.442132728304024,0.004465391252392876
매직박 (yagubu),126240810,66165,25478,1666,59697,53490,3379601,True,False,Korean,2104013.5,1102.75,48.50600770800272,63.18192185455225,0.02790760004690353
richwcampbell,126132675,69870,34756,1878,108410,57422,3790423,True,False,English,2102211.25,1164.5,49.310433662516104,66.0099439239316,0.017323125172954524
ESL_CSGO_FR,126026325,53295,22857,2570,193614,26073,4124889,True,False,French,2100438.75,888.25,29.353222628764424,158.20538488091128,0.013273833503775553
양아지 (dkwl025),125872350,103365,6861,1237,220819,114560,4933531,True,False,Korean,2097872.5,1722.75,66.49833115658105,43.06504015363129,0.0056018730272304465
Cizzorz,125812350,56970,11782,1891,1866339,222573,3095942,True,False,English,2096872.5,949.5,234.41074249605055,13.909782408468233,0.0010132135694533523
RyuQuezacotl,125680845,125820,4022,976,79063,9884,1867494,True,True,English,2094680.75,2097.0,4.713400095374344,188.9411169566977,0.012344585963092724
Sigma,125477415,94695,81683,798,61206,54151,1334161,True,True,English,2091290.25,1578.25,34.3107872643751,24.637790622518512,0.013037937457112047
Robbaz,125249820,86415,4938,1427,229652,23827,5009610,True,False,English,2087497.0,1440.25,16.54365561534456,210.24929701599027,0.006213749499242332
mailand,124936395,86865,6867,1400,86561,31605,3923343,True,True,German,2082273.25,1447.75,21.830426523916422,124.13678215472235,0.016173565462506208
Buozzi,124926540,142785,4036,872,75290,39547,5126434,True,True,Portuguese,2082109.0,2379.75,16.618132156739154,129.62889726148634,0.011581883384247576
HeyarTV,124878165,155700,2343,786,124479,17695,2506556,True,True,French,2081302.75,2595.0,6.81888246628131,141.65334840350383,0.006314318077748054
LenaGol0vach,124876665,30210,9115,4159,274237,40915,2969471,False,False,Russian,2081277.75,503.5,81.26117179741807,72.5765856043016,0.015165714327388355
Sinner666,124812240,24765,27996,4530,7102,7101,21322548,False,False,Russian,2080204.0,412.75,17.204118715929738,3002.752851711027,0.6378484933821459
TommyKayLIVE,124680810,108105,3536,1124,127770,58673,2561302,True,True,English,2078013.5,1801.75,32.5644512279728,43.65384418727524,0.008797057212178133
TMemoryy,124620795,130440,3244,924,171107,64750,1027960,True,False,English,2077013.25,2174.0,29.783808647654094,15.875830115830116,0.005400129743376951
Patriota,124595820,64305,29435,1951,646758,344213,3707623,True,False,Portuguese,2076597.0,1071.75,321.1691159318871,10.771304395824679,0.003016584255625752
러너교 (runner0608),124525605,52785,17926,2434,164902,58988,4276695,False,False,Korean,2075426.75,879.75,67.05086672350099,72.50110191903438,0.014760281864380055
zorlaKOKA,124241010,100050,4977,1247,361102,83418,7654224,True,False,Portuguese,2070683.5,1667.5,50.02578710644678,91.75746241818312,0.003453317899097762
Hitch,124224555,132870,3976,875,96343,30813,1942552,True,True,English,2070409.25,2214.5,13.914201851433733,63.04326096128258,0.009082133626729497
calango,124180125,70155,8380,1736,767187,293608,3292645,True,False,Portuguese,2069668.75,1169.25,251.10797519777634,11.214425356257323,0.002262812065376499
Adin2Huncho,124133550,64920,14502,1470,199880,162642,956614,True,False,English,2068892.5,1082.0,150.31608133086877,5.8817156699991395,0.007354412647588553
SlotRoom247,124078200,373800,20609,326,69183,69113,1338301,False,True,German,2067970.0,6230.0,11.09357945425361,19.363954682910595,0.004712140265672203
ALLinPav,124058985,137760,6221,850,71579,21360,3156265,True,True,English,2067649.75,2296.0,9.303135888501743,147.76521535580525,0.011874991268388773
Surefour,124056555,53145,7911,2289,331662,46991,2066041,True,True,English,2067609.25,885.75,53.05221563646627,43.966738311591584,0.006901604645693507
NumotTheNummy,123899265,105930,3359,1118,103069,8045,1530401,True,False,English,2064987.75,1765.5,4.556782781081846,190.23008079552517,0.0108471024265298
aminematue,123826230,30480,16577,4016,124232,123363,2316908,True,False,French,2063770.5,508.0,242.84055118110237,18.781222895033356,0.03232661472084487
CallMeCarsonLIVE,123486240,14340,61531,8208,1151712,732108,3533199,True,True,English,2058104.0,239.0,3063.213389121339,4.8260625481486334,0.007126781695423856
ZiggyDLive,123398085,99075,18437,1227,173807,15899,4249580,True,False,English,2056634.75,1651.25,9.628463285389856,267.2859928297377,0.00705955456339503
KEEMSTAR,123365895,3465,74195,35333,146035,46367,7139253,False,False,English,2056098.25,57.75,802.8917748917748,153.97271766558111,0.24194884787893314
크캣66 (crazzyccat),123279435,192780,2543,644,35930,24849,1889696,True,False,Korean,2054657.25,3213.0,7.733893557422969,76.04716487585013,0.01792374060673532
RelaxBeats,123273930,521430,2830,235,166162,29595,1094850,True,False,English,2054565.5,8690.5,3.4054427248144528,36.994424733907756,0.001414282447250274
LAGTVMaximusBlack,123125340,161535,7138,725,256353,13251,2310313,True,True,English,2052089.0,2692.25,4.921905469402915,174.35008678590296,0.002828131521768811
Destructoid,122628630,103020,14566,1190,48007,8995,87603521,True,False,English,2043810.5,1717.0,5.238788584740827,9739.135186214564,0.024788051742454225
LITkillah,122524635,13560,21359,9104,601927,562691,2162107,True,False,Spanish,2042077.25,226.0,2489.783185840708,3.8424410555704642,0.0151247576533367
빅헤드 (bighead033),122523705,153000,3940,793,213212,52289,4399897,True,False,Korean,2042061.75,2550.0,20.50549019607843,84.1457476715944,0.003719302853497927
마스카 (newmasca),122452320,217410,6431,567,109068,-4942,3417970,True,False,Korean,2040872.0,3623.5,-1.3638747067752173,-691.6167543504654,0.005198591704257894
AndyMilonakis,122311065,104745,10543,1153,547446,109111,3926918,True,False,English,2038517.75,1745.75,62.50093083202062,35.990120152871846,0.0021061438023110956
Remx,122192850,99180,13788,1205,178553,59432,2049420,True,False,French,2036547.5,1653.0,35.95402298850575,34.48344326288868,0.006748696465475237
